Trip_ID,Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var2,Var3,Gender,Surge_Pricing_Type
T0005689504,23.58,0,9.0,2.77751,1,0,1.44,2,55,83,1,1
T0005689505,31.82,1,10.0,2.70044,2,1,3.15125,1,51,66,1,1
T0005689506,23.58,3,10.0,2.70352,0,3,2.425,0,47,66,0,3
T0005689507,61.73,0,10.0,2.66894,1,0,1.1524999999999999,0,51,71,0,3
T0005689508,47.92,4,2.0,2.62154,1,0,4.225,2,47,66,1,3
T0005689509,23.58,1,4.0,2.59621,0,1,3.15875,0,53,72,1,1
T0005689510,61.73,0,10.0,2.97894,1,1,3.405,0,53,79,1,1
T0005689513,30.93,1,6.0,2.65609,1,1,2.55625,0,51,83,1,2
T0005689515,36.1,1,6.0,2.70134,1,0,1.835,0,55,83,1,1
T0005689516,23.58,2,5.0,2.47188,1,2,2.18,2,51,83,0,2
T0005689517,61.73,1,4.0,2.79805,1,0,3.33125,2,55,83,0,3
T0005689519,23.58,1,6.0,2.70811,1,0,3.12375,0,48,66,1,2
T0005689520,61.73,0,7.0,2.79805,1,1,1.94375,0,52,83,0,1
T0005689521,61.73,1,8.0,2.7719,1,0,1.1524999999999999,0,48,76,0,1
T0005689522,61.73,2,6.0,3.21957,2,1,3.3125,0,51,83,1,2
T0005689523,37.04,4,2.0,2.60963,2,0,3.565,0,48,66,0,3
T0005689525,25.82,3,10.0,2.84043,1,3,2.8875,2,55,83,1,3
T0005689529,61.73,0,10.0,2.79805,1,0,1.1524999999999999,1,51,75,1,3
T0005689530,61.73,4,2.0,2.99798,1,0,2.19375,0,48,70,1,3
T0005689532,29.93,1,10.0,2.56887,0,0,4.145,0,48,72,1,1
T0005689533,25.27,1,2.0,2.79805,1,1,1.5625,0,48,83,1,2
T0005689534,23.58,0,2.0,2.42948,2,0,1.95,0,47,66,0,1
T0005689536,23.58,0,2.0,2.89871,0,1,3.2675,0,55,79,1,1
T0005689537,36.76,1,5.0,2.64466,0,0,2.46375,0,49,68,1,3
T0005689538,23.58,2,6.0,2.68583,0,4,1.54375,0,47,66,1,3
T0005689539,51.98,3,2.0,3.11521,2,0,3.78375,0,47,66,1,3
T0005689542,26.04,0,10.0,2.94976,2,2,1.6825,0,55,83,1,1
T0005689543,61.73,2,2.0,2.99815,2,0,2.37,0,55,83,0,2
T0005689544,61.73,4,10.0,3.07572,2,2,3.8075,1,52,69,1,3
T0005689545,43.17,1,9.0,2.55422,1,0,1.64125,2,55,72,1,2
T0005689546,26.42,2,2.0,2.7305,2,1,3.6075,0,53,69,1,2
T0005689547,36.22,1,2.0,2.74202,0,1,2.19125,0,49,69,1,2
T0005689548,55.02,0,10.0,3.20656,0,0,4.53,1,47,66,1,1
T0005689551,49.05,2,2.0,3.00109,0,10,2.45625,1,47,71,1,3
T0005689553,23.58,1,10.0,2.79805,1,1,3.765,0,52,79,0,2
T0005689554,32.14,1,10.0,2.4815,1,0,2.325,1,51,68,0,3
T0005689556,61.19,2,2.0,2.87003,2,0,3.9875,1,48,70,1,2
T0005689558,47.57,1,2.0,2.79805,1,0,3.4875,0,49,66,0,2
T0005689559,23.58,0,2.0,2.60677,2,0,1.67375,1,48,66,1,3
T0005689561,23.58,1,2.0,2.51089,0,3,2.3725,0,47,66,1,2
T0005689562,37.16,2,4.0,2.79805,1,0,3.1375,1,55,83,1,2
T0005689564,61.73,1,3.0,3.11713,1,0,4.15625,0,49,77,1,2
T0005689566,61.73,3,6.0,2.79805,1,11,4.04875,2,49,68,1,3
T0005689567,34.38,1,4.0,2.79805,1,0,2.22,1,52,66,1,1
T0005689568,56.73,2,2.0,2.79805,1,0,2.89375,0,47,66,1,3
T0005689569,39.18,1,6.0,2.79805,1,1,1.9075,0,55,81,1,2
T0005689570,23.58,0,2.0,2.60164,0,6,2.4725,0,47,66,1,1
T0005689571,30.99,2,9.0,2.79805,1,2,2.47375,0,53,75,0,3
T0005689573,61.73,1,10.0,3.11319,1,7,3.61125,2,55,83,0,3
T0005689574,23.58,1,10.0,2.90889,1,0,1.6375,2,54,83,1,2
T0005689576,23.58,3,10.0,2.72936,2,3,1.7525,1,52,71,0,3
T0005689577,48.69,3,8.0,2.92202,0,0,3.40875,1,55,76,0,2
T0005689578,23.58,1,7.0,2.54178,0,0,2.47625,1,48,66,1,2
T0005689581,23.58,1,6.0,2.70699,0,1,2.18,0,51,77,0,2
T0005689582,56.66,3,8.0,2.79805,1,2,2.12375,0,51,71,1,3
T0005689583,47.4,0,6.0,2.94365,2,0,2.8375,0,54,79,1,1
T0005689584,26.5,1,5.0,2.79805,1,0,1.59,0,55,79,1,2
T0005689586,61.73,1,10.0,3.17557,0,1,2.7825,0,54,78,1,2
T0005689590,61.73,3,10.0,2.9752,1,1,3.8325,1,47,66,0,3
T0005689591,38.07,1,10.0,2.54604,2,0,1.31625,0,55,83,1,2
T0005689592,61.73,2,2.0,3.2501087500000008,2,1,3.9525,0,49,83,1,1
T0005689595,23.87,2,7.0,2.79805,1,3,1.37125,0,54,75,1,2
T0005689597,61.73,1,7.0,3.2501087500000008,2,1,3.43625,1,51,83,1,2
T0005689598,23.58,3,2.0,2.78181,0,0,2.775,2,54,82,0,3
T0005689600,30.14,2,10.0,2.61967,2,0,1.1524999999999999,0,54,83,0,3
T0005689602,23.58,1,3.0,2.79805,1,0,4.21875,0,47,66,1,2
T0005689605,23.58,1,10.0,2.88074,2,2,3.625,1,52,69,1,1
T0005689608,23.58,1,10.0,2.7756,2,1,3.20375,0,49,66,0,2
T0005689611,23.58,3,2.0,2.7788,2,8,4.5825,0,47,66,0,3
T0005689612,23.58,1,8.0,2.85474,1,0,2.17125,1,55,82,1,2
T0005689613,33.51,1,8.0,3.13281,0,0,4.5825,0,47,66,1,3
T0005689616,61.73,0,10.0,2.85882,1,1,3.95,0,47,66,1,1
T0005689620,61.73,4,10.0,2.86489,1,0,2.2325,0,49,66,1,3
T0005689622,61.73,1,6.0,2.89235,1,0,3.605,1,47,66,1,3
T0005689623,23.58,1,10.0,2.350658749999999,0,0,1.38375,0,47,66,0,2
T0005689624,38.19,1,2.0,2.6737,1,1,2.77875,0,55,80,1,2
T0005689625,32.03,1,6.0,2.63764,0,3,2.77,1,50,67,0,2
T0005689627,29.24,0,5.0,2.79805,1,0,3.51375,1,47,66,0,1
T0005689629,61.73,2,2.0,2.9527,2,0,2.55375,0,53,71,0,2
T0005689631,61.73,1,7.0,2.83523,1,1,2.24,0,49,73,1,3
T0005689632,23.58,1,6.0,2.63792,1,0,3.62625,2,47,78,0,1
T0005689634,33.96,3,8.0,2.68813,2,4,3.39375,0,47,66,0,2
T0005689635,23.58,1,2.0,2.79805,1,3,3.1775,0,47,66,1,2
T0005689636,31.78,2,2.0,2.84128,0,0,4.405,2,51,66,1,2
T0005689637,23.58,2,8.0,2.38539,0,11,4.18125,0,48,66,1,1
T0005689639,23.58,1,10.0,3.00134,2,9,2.5525,2,53,66,1,1
T0005689643,44.55,2,6.0,3.2501087500000008,1,2,4.23375,0,52,80,0,3
T0005689646,23.58,1,5.0,2.79805,1,7,1.5425,0,53,76,1,2
T0005689648,34.58,0,10.0,2.59889,0,0,1.485,0,49,66,1,3
T0005689651,41.11,0,10.0,3.11158,1,0,3.15375,2,50,78,1,1
T0005689652,47.85,3,2.0,2.74385,0,3,2.525,0,55,81,1,3
T0005689654,51.03,1,10.0,2.58634,1,1,2.41875,0,55,83,1,2
T0005689655,30.34,4,6.0,2.41717,1,0,1.1524999999999999,1,48,83,1,2
T0005689656,61.53,2,7.0,3.07829,1,0,4.0275,1,47,75,1,2
T0005689657,61.73,1,10.0,2.77376,0,0,2.395,0,53,81,1,3
T0005689658,30.35,1,10.0,2.60735,0,0,2.4875,1,50,66,0,1
T0005689661,37.15,1,10.0,2.80752,0,10,3.94625,0,49,66,0,2
T0005689662,61.73,1,2.0,3.11708,1,2,3.6725,0,47,76,1,2
T0005689663,47.42,2,9.0,2.68379,2,0,1.895,0,47,66,1,2
T0005689664,23.58,0,8.0,2.66349,0,0,2.16875,0,51,71,1,1
T0005689665,37.71,1,2.0,2.78515,2,1,2.93,0,47,66,0,2
T0005689666,61.73,3,10.0,2.98507,1,0,2.07625,0,55,83,1,3
T0005689667,23.58,1,3.0,2.87515,0,1,3.28,1,54,77,1,2
T0005689669,46.08,1,7.0,2.74682,0,0,3.4775,2,51,73,1,2
T0005689670,23.58,4,7.0,2.65026,2,0,2.66375,1,50,83,1,3
T0005689671,42.42,2,10.0,2.66861,0,0,2.49625,1,48,66,1,3
T0005689673,23.58,1,10.0,2.79805,1,0,2.13625,2,51,83,1,2
T0005689674,30.67,1,2.0,2.72325,0,0,2.63125,0,55,81,1,1
T0005689675,23.58,1,3.0,2.48296,2,4,3.695,1,47,66,1,2
T0005689676,61.73,2,10.0,2.95507,1,0,2.315,0,49,83,1,2
T0005689678,35.57,3,4.0,2.79805,1,0,2.935,2,52,73,1,2
T0005689682,27.07,3,2.0,2.69554,2,0,4.39375,2,54,73,1,3
T0005689683,23.58,3,3.0,2.93155,0,3,2.58875,0,54,78,1,3
T0005689687,23.58,3,6.0,2.36745,1,0,4.23125,0,55,80,1,1
T0005689688,34.82,1,2.0,2.86901,0,0,3.48625,0,49,69,1,2
T0005689690,23.58,2,6.0,2.37478,1,0,4.21,1,48,66,0,2
T0005689691,37.58,2,10.0,2.99978,0,5,2.57,1,47,67,0,3
T0005689692,23.58,1,2.0,2.75201,0,1,3.73125,1,53,83,0,2
T0005689695,61.73,3,3.0,3.2501087500000008,1,2,3.88875,2,51,83,1,3
T0005689699,23.58,2,10.0,2.52498,2,3,1.75,1,53,79,1,3
T0005689700,23.58,1,10.0,2.86896,0,0,2.69125,0,51,79,0,2
T0005689701,45.53,3,5.0,2.79805,1,1,2.78875,2,54,69,1,3
T0005689702,23.58,3,3.0,2.79805,1,1,3.68375,2,47,66,0,3
T0005689703,45.16,1,2.0,2.79805,1,0,3.41375,2,50,66,1,2
T0005689704,61.73,1,4.0,2.79805,1,0,4.3325,1,54,76,1,2
T0005689705,23.58,1,6.0,2.69304,1,0,2.705,0,49,75,1,2
T0005689707,61.73,0,10.0,3.00124,2,0,3.27625,2,51,70,0,3
T0005689708,61.73,1,2.0,2.93755,2,0,2.2275,1,49,71,1,3
T0005689711,29.2,2,3.0,2.66438,0,1,2.75,0,53,71,1,3
T0005689715,45.7,1,9.0,2.86394,1,0,1.46625,1,53,79,1,2
T0005689717,29.53,1,2.0,2.79805,1,0,3.4175,0,55,83,1,2
T0005689718,61.73,3,6.0,2.80976,2,0,1.46375,0,55,69,1,3
T0005689719,30.56,3,9.0,2.87168,2,0,4.02,2,49,73,1,3
T0005689722,59.45,3,10.0,2.80722,1,0,1.1524999999999999,0,47,83,1,3
T0005689723,29.41,1,10.0,2.61209,2,1,2.915,1,52,83,1,2
T0005689725,55.2,1,2.0,2.91759,0,1,1.4425,0,50,66,1,1
T0005689726,35.06,1,3.0,2.70543,2,1,2.95375,0,51,66,1,2
T0005689730,23.58,2,10.0,2.60245,0,0,3.1625,0,51,66,1,2
T0005689732,23.58,1,2.0,2.81199,1,1,2.89625,1,53,66,0,1
T0005689733,25.65,4,2.0,2.66786,1,0,3.07375,1,52,70,1,3
T0005689734,26.01,0,6.0,2.81404,1,7,2.3825,0,48,73,1,1
T0005689736,61.31,2,9.0,2.87298,1,1,2.32,1,49,77,1,2
T0005689738,33.55,4,8.0,2.57117,2,3,1.24625,2,48,68,0,3
T0005689742,61.73,1,2.0,3.24252,1,0,3.2175,2,55,83,1,3
T0005689743,31.75,2,3.0,2.87022,0,0,2.72625,1,54,81,1,2
T0005689744,61.73,2,10.0,3.17734,0,1,3.8375,0,55,81,1,1
T0005689746,61.73,1,10.0,2.79805,1,1,2.02125,0,55,83,1,2
T0005689747,29.75,1,6.0,2.79805,1,0,2.1275,0,55,70,1,1
T0005689752,61.73,2,5.0,2.79805,1,0,2.835,0,47,66,1,2
T0005689754,23.58,3,2.0,2.56615,0,0,2.44625,0,47,66,0,1
T0005689756,29.7,2,7.0,2.68501,2,0,1.825,1,54,69,1,2
T0005689757,44.62,1,2.0,2.97945,1,0,1.9575,0,49,66,1,2
T0005689758,30.39,3,5.0,2.71447,1,0,2.3325,1,51,66,1,2
T0005689759,61.73,3,10.0,2.80833,2,0,2.4125,0,55,83,1,3
T0005689760,51.23,2,2.0,2.85163,1,0,2.98375,0,55,78,1,2
T0005689763,23.58,0,6.0,2.9363,0,1,3.71875,0,52,71,0,1
T0005689764,61.73,3,2.0,3.2501087500000008,1,0,4.5825,2,54,75,1,3
T0005689766,24.53,1,6.0,2.82378,2,0,3.7475,0,49,75,1,1
T0005689767,26.46,0,2.0,2.86184,1,0,2.215,0,50,66,1,1
T0005689768,27.11,2,2.0,2.63147,2,0,2.03875,2,50,66,1,3
T0005689770,23.58,2,2.0,2.350658749999999,0,1,3.5975,0,47,66,0,2
T0005689771,56.66,1,3.0,3.00205,0,1,1.48,0,48,69,1,1
T0005689776,23.58,1,8.0,2.44908,2,3,2.52125,2,47,66,1,2
T0005689779,61.66,0,10.0,2.79805,1,0,3.83,1,47,71,1,2
T0005689780,41.83,2,7.0,3.13117,1,1,2.44625,0,48,67,1,2
T0005689781,61.42,0,10.0,2.8462,1,5,3.2175,0,49,83,1,1
T0005689782,23.58,2,10.0,2.74395,0,0,4.5825,0,47,72,1,2
T0005689785,46.77,2,9.0,2.85635,2,0,2.13375,0,47,71,1,2
T0005689786,61.73,2,8.0,2.90623,1,1,1.33,0,55,79,1,2
T0005689788,49.18,0,10.0,2.9318,0,1,3.32375,0,50,76,1,1
T0005689789,61.73,3,2.0,2.83226,1,0,3.39375,2,50,70,1,3
T0005689790,42.56,3,2.0,2.66948,2,0,3.005,0,48,66,1,3
T0005689791,46.98,1,4.0,2.98091,0,0,2.70375,2,52,76,1,2
T0005689792,61.73,3,10.0,2.86097,2,3,1.82875,1,55,83,1,3
T0005689794,61.73,1,10.0,2.79805,1,5,3.9725,0,55,83,1,2
T0005689796,23.58,4,5.0,2.79805,1,5,2.755,1,51,78,1,3
T0005689797,39.7,1,10.0,2.78495,1,0,3.035,1,51,82,1,1
T0005689798,23.58,0,9.0,2.87733,0,0,2.75,0,55,77,1,1
T0005689800,61.73,0,10.0,3.03818,1,0,1.1524999999999999,0,51,79,0,1
T0005689803,23.58,0,10.0,2.758,1,0,2.6075,2,47,83,0,2
T0005689805,23.58,1,9.0,2.39097,0,0,2.50375,1,47,70,0,1
T0005689809,48.92,0,10.0,2.9933,1,0,3.82625,0,47,68,1,3
T0005689810,48.93,3,4.0,2.69105,1,10,2.66875,0,50,71,1,3
T0005689813,23.58,4,6.0,2.350658749999999,1,0,1.1524999999999999,0,48,66,1,2
T0005689816,23.58,0,2.0,2.79805,1,0,2.6175,0,54,81,1,1
T0005689820,25.02,0,6.0,2.79805,1,0,3.475,0,47,73,0,1
T0005689821,23.58,4,7.0,2.79805,1,1,3.24125,1,47,66,1,3
T0005689822,61.73,4,3.0,3.2501087500000008,1,3,3.06625,1,55,83,1,3
T0005689823,23.58,1,4.0,2.59561,0,0,2.39,1,55,83,1,2
T0005689824,56.15,0,10.0,2.72318,0,0,2.54375,0,50,81,1,1
T0005689827,60.05,1,9.0,2.69862,2,0,2.33,1,53,74,1,3
T0005689829,56.82,0,2.0,2.70079,2,0,2.77625,0,54,76,0,3
T0005689831,29.24,1,4.0,2.81802,1,3,4.10875,1,50,75,1,1
T0005689834,28.58,3,4.0,2.56296,0,0,2.26625,2,50,66,0,3
T0005689835,23.58,1,3.0,2.79231,0,1,3.84375,2,47,66,0,2
T0005689836,32.75,0,2.0,2.52938,0,3,1.72625,1,55,83,1,3
T0005689837,23.58,1,6.0,2.79805,1,2,4.05375,1,48,70,1,2
T0005689838,23.58,1,4.0,2.95545,0,3,2.985,1,54,77,0,2
T0005689839,47.24,1,8.0,2.69999,2,0,1.4475,1,52,83,1,2
T0005689842,23.58,1,3.0,2.79805,1,4,3.065,1,52,69,0,2
T0005689844,61.73,1,6.0,2.79805,1,5,2.0625,0,52,69,1,3
T0005689845,30.78,3,10.0,2.69912,0,0,1.93125,0,50,76,1,3
T0005689847,23.58,1,10.0,2.77648,2,1,2.1925,0,47,67,0,3
T0005689848,61.73,1,10.0,2.79805,1,1,3.09875,0,47,66,1,1
T0005689849,23.58,1,4.0,2.79805,1,2,2.48,1,50,83,1,1
T0005689850,23.58,3,8.0,2.87294,2,0,3.67,0,48,83,0,1
T0005689852,23.58,0,10.0,3.08883,2,1,2.62375,1,55,83,0,2
T0005689853,29.28,3,2.0,2.53694,1,1,1.17875,0,55,83,1,3
T0005689854,61.73,2,2.0,3.19329,1,2,3.68375,2,50,83,1,3
T0005689856,23.58,2,9.0,2.47776,0,1,3.94875,2,50,69,1,2
T0005689857,61.73,0,2.0,3.2501087500000008,1,0,4.135,1,52,71,1,1
T0005689859,47.56,0,3.0,2.70659,0,0,1.36,0,48,83,1,1
T0005689860,23.58,1,10.0,2.58557,0,0,3.725,2,48,76,1,1
T0005689863,61.73,1,2.0,2.79805,1,1,2.735,0,51,83,0,2
T0005689867,23.58,2,9.0,2.79805,1,0,3.16625,2,50,70,1,2
T0005689869,29.52,2,6.0,2.66205,1,1,3.70125,0,48,66,1,2
T0005689872,23.58,3,10.0,2.7414,0,0,2.425,1,50,66,1,3
T0005689873,47.88,2,2.0,2.61861,2,0,2.605,2,48,83,1,3
T0005689875,61.73,0,10.0,2.79922,1,0,1.49,0,47,69,1,1
T0005689876,61.73,1,10.0,3.2501087500000008,2,0,4.13875,2,51,83,0,2
T0005689878,61.73,1,6.0,3.2501087500000008,2,0,3.205,1,55,82,1,1
T0005689879,61.73,0,10.0,2.89936,1,1,2.84875,2,53,83,0,1
T0005689880,23.58,1,10.0,2.84908,1,3,3.15,1,47,66,1,2
T0005689882,23.58,1,2.0,2.44841,1,0,2.245,0,48,66,0,2
T0005689883,27.05,0,9.0,3.05144,0,6,3.23625,0,50,83,1,1
T0005689885,61.73,1,5.0,2.79805,1,1,3.605,0,48,69,1,1
T0005689889,61.73,4,2.0,2.74698,2,1,2.18,1,55,77,1,3
T0005689891,28.74,0,10.0,2.77123,0,0,2.39,0,52,82,0,1
T0005689892,26.32,1,10.0,2.90688,0,0,3.4825,1,55,83,1,1
T0005689893,31.08,2,5.0,2.79805,1,0,2.80375,2,47,75,0,3
T0005689894,23.58,1,2.0,2.77988,1,0,1.19875,2,55,83,1,3
T0005689896,61.73,2,2.0,3.20548,1,0,2.31625,0,52,78,0,2
T0005689897,41.13,4,2.0,2.69311,1,0,3.4225,0,50,66,1,3
T0005689898,25.17,1,5.0,2.47189,2,1,2.975,0,51,70,1,2
T0005689899,23.58,0,2.0,2.83549,0,2,1.835,0,51,79,1,1
T0005689900,24.66,1,10.0,2.7162,0,1,1.7225,0,51,71,1,2
T0005689901,23.58,2,10.0,2.99703,1,2,1.6425,0,55,83,1,2
T0005689903,61.73,2,6.0,3.24189,1,0,2.54125,2,55,83,0,3
T0005689904,29.97,0,8.0,2.77932,0,0,3.1625,2,47,83,1,1
T0005689905,60.86,1,9.0,2.53404,1,0,2.63,0,47,66,0,2
T0005689906,61.73,1,3.0,2.95871,1,0,3.2375,0,48,76,1,3
T0005689907,23.58,0,10.0,2.90267,0,0,2.79625,1,53,76,0,2
T0005689911,61.73,0,10.0,3.2501087500000008,2,0,3.95875,1,49,80,1,1
T0005689912,61.73,1,2.0,2.90159,1,0,4.3475,2,48,66,1,3
T0005689913,27.6,1,7.0,2.63374,0,0,1.60125,1,53,71,1,3
T0005689914,47.34,1,2.0,2.68082,0,0,3.73125,0,47,66,1,2
T0005689918,32.14,3,2.0,2.81827,0,1,3.13,1,55,83,1,2
T0005689919,23.58,2,2.0,2.66249,1,1,1.95625,2,52,83,1,3
T0005689923,29.32,1,10.0,2.62277,0,2,4.1425,2,51,82,0,2
T0005689926,61.73,4,10.0,3.2048,2,0,2.22875,1,55,83,1,3
T0005689927,41.83,1,10.0,2.74486,2,0,3.025,0,55,83,0,2
T0005689929,61.73,4,2.0,3.2501087500000008,1,1,4.3075,0,48,83,1,3
T0005689931,61.73,1,8.0,2.79805,1,1,1.48,2,48,66,1,1
T0005689932,43.32,3,10.0,2.75442,0,0,1.1524999999999999,1,55,83,1,3
T0005689934,30.47,1,2.0,2.70486,0,0,4.5775,0,47,66,1,1
T0005689935,61.73,1,10.0,3.2501087500000008,1,0,2.26125,0,50,83,0,2
T0005689940,61.73,1,2.0,3.08588,1,0,4.0675,0,47,79,1,1
T0005689941,61.73,2,2.0,2.75583,0,0,3.7325,1,48,73,1,2
T0005689943,30.35,4,2.0,2.70292,0,1,3.6825,2,50,67,0,1
T0005689944,23.58,1,10.0,2.5259,1,0,1.3075,2,55,74,0,2
T0005689945,61.73,3,3.0,3.21988,2,0,2.47875,0,51,69,1,3
T0005689947,29.61,4,2.0,2.79805,1,4,2.955,0,47,66,0,3
T0005689948,30.62,0,10.0,2.96618,0,0,2.71,0,55,83,1,1
T0005689949,61.73,2,6.0,3.02694,1,0,3.5,0,51,70,1,3
T0005689950,23.58,1,2.0,2.8452,2,0,2.32125,0,47,74,1,2
T0005689952,30.43,2,4.0,2.79805,1,2,4.0225,1,51,78,1,1
T0005689953,61.73,1,2.0,2.89874,1,0,2.96875,1,47,76,1,2
T0005689954,61.73,4,4.0,2.81407,1,0,3.60625,1,51,70,1,3
T0005689955,59.44,3,2.0,2.9353,1,7,2.015,2,51,77,1,3
T0005689956,23.58,2,7.0,2.7028,0,0,2.4825,1,54,67,1,3
T0005689957,26.08,0,3.0,2.79805,1,0,3.7,0,50,68,1,1
T0005689958,23.58,1,2.0,2.42472,0,0,2.71125,0,55,75,0,2
T0005689960,61.73,0,10.0,3.17619,0,0,2.9825,0,55,83,1,1
T0005689961,23.58,2,2.0,2.67373,2,1,2.2375,0,55,76,0,2
T0005689962,28.52,0,5.0,2.84354,0,1,4.04,1,55,82,0,1
T0005689964,23.58,1,10.0,2.6455,2,3,1.23,0,55,73,1,3
T0005689965,23.58,0,7.0,2.78176,0,0,2.4,0,48,69,1,2
T0005689967,23.58,1,5.0,2.65611,2,0,4.19625,2,47,66,1,2
T0005689968,30.59,3,2.0,2.55035,0,0,3.91125,0,51,68,1,1
T0005689970,55.24,1,4.0,3.1442,1,0,4.4125,0,47,66,1,1
T0005689972,61.73,1,9.0,2.83991,1,0,3.90875,2,54,72,1,3
T0005689973,61.42,1,2.0,2.79805,1,7,4.5825,1,47,66,0,3
T0005689974,61.73,1,3.0,2.70208,1,0,3.8,0,51,68,0,3
T0005689976,23.58,1,8.0,2.8738,2,1,3.8325,1,48,70,0,2
T0005689977,61.73,3,5.0,2.8479,1,1,3.24125,0,47,66,0,2
T0005689978,61.73,1,10.0,2.86874,2,0,2.53875,0,48,80,1,3
T0005689979,23.58,1,2.0,2.78326,0,2,3.5775,2,47,81,1,2
T0005689980,34.62,0,10.0,2.92443,2,1,3.4775,0,50,69,1,1
T0005689981,45.1,2,3.0,2.78137,1,0,1.60375,1,50,76,0,3
T0005689982,46.78,2,10.0,2.91506,1,0,2.08625,2,47,77,1,3
T0005689983,35.23,1,2.0,2.79805,1,0,3.49375,0,55,83,1,1
T0005689986,56.52,3,10.0,2.83979,2,0,2.57875,0,54,83,0,1
T0005689987,53.92,2,3.0,3.22876,1,0,4.5825,1,47,66,1,3
T0005689988,23.58,2,6.0,2.350658749999999,1,0,4.0675,0,47,66,1,2
T0005689992,61.73,3,5.0,2.92786,1,0,2.63125,0,50,75,1,3
T0005689993,61.73,1,10.0,2.79805,1,0,2.94,0,50,81,1,1
T0005689997,23.58,1,10.0,2.62862,1,0,3.4925,2,53,77,1,2
T0005689998,36.36,3,2.0,2.73755,0,0,3.18375,0,47,69,1,2
T0005690000,61.09,3,6.0,2.65585,1,0,2.8525,1,52,74,0,3
T0005690001,30.81,2,5.0,2.5452,0,1,1.8125,0,47,66,0,2
T0005690002,61.66,4,6.0,2.77501,2,0,4.5825,2,50,67,0,3
T0005690003,61.73,2,10.0,3.17036,0,0,3.1925,0,47,75,1,2
T0005690005,23.58,2,6.0,2.36695,1,0,3.725,1,47,66,1,2
T0005690006,31.14,1,7.0,2.84023,2,0,2.24875,0,51,74,0,1
T0005690007,61.44,1,10.0,3.21276,1,0,2.64375,2,52,79,0,2
T0005690008,61.73,1,6.0,2.98024,1,1,2.04,0,55,83,0,2
T0005690009,23.58,1,10.0,2.5541,0,9,2.47625,0,55,83,1,2
T0005690011,40.59,1,2.0,2.68281,2,1,3.5225,0,47,66,1,2
T0005690012,50.46,2,10.0,2.94567,0,0,2.145,1,55,82,1,3
T0005690014,23.58,1,8.0,2.95287,0,0,4.45125,0,47,66,0,1
T0005690015,61.73,1,2.0,3.09344,1,0,3.76125,2,50,82,1,2
T0005690016,45.23,3,5.0,2.82071,2,4,2.55,0,51,66,0,3
T0005690017,30.46,0,7.0,2.78323,2,1,3.89125,0,55,83,1,2
T0005690021,29.4,1,3.0,2.83064,0,11,3.03,0,54,83,1,2
T0005690022,61.73,1,9.0,2.76166,2,1,1.7375,1,49,66,1,3
T0005690023,24.76,1,10.0,2.95062,0,2,3.45125,2,50,83,1,2
T0005690025,46.17,2,10.0,2.79805,1,0,1.97375,0,51,76,1,2
